url_length,domain_length,path_length,dot_count,hyphen_count,digit_count,special_character_count,has_https,has_ip,has_at_symbol,query_parameter_count,has_fragment,subdomain_count,suspicious_keyword_count,is_shortened_url,label
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
31,23,0,2,0,0,0,1,0,0,0,0,1,0,1,0
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
32,24,0,2,0,0,0,1,0,0,0,0,1,0,0,0
19,12,0,2,0,0,0,0,0,0,0,0,1,0,0,1
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,19,1,2,0,5,0,1,0,0,0,0,1,0,0,1
75,28,40,2,0,5,0,0,0,0,0,0,1,0,1,1
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
48,17,19,4,1,6,1,1,0,1,0,1,2,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,0,3,0,0,0,1,0,0,0,0,2,0,0,0
35,26,1,2,0,0,0,1,0,0,0,0,1,0,0,1
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
54,45,1,5,0,3,0,1,0,0,0,0,4,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,3,0,0,0,1,0,0,0,0,2,0,0,0
31,23,0,3,0,0,0,1,0,0,0,0,2,0,0,0
26,19,0,2,0,1,0,0,0,0,0,0,1,0,1,1
33,25,0,2,0,0,0,1,0,0,0,0,1,0,0,0
53,44,1,3,0,0,0,1,0,0,0,0,2,0,0,1
24,15,1,2,1,0,0,1,0,0,0,0,1,0,0,1
27,20,0,3,0,0,0,0,0,0,0,0,2,0,0,1
46,37,1,2,3,1,0,1,0,0,0,0,1,1,0,1
31,24,0,2,0,0,0,0,0,0,0,0,1,0,0,1
73,35,1,2,0,8,3,1,0,0,1,0,1,1,0,1
32,24,0,2,0,0,0,1,0,0,0,0,1,0,0,0
36,27,1,2,1,6,0,1,0,0,0,0,1,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
19,11,0,2,0,0,0,1,0,0,0,0,1,0,0,0
67,7,52,1,0,8,0,1,0,0,0,0,0,0,0,1
49,40,1,2,3,6,0,1,0,0,0,0,1,0,0,1
34,26,0,3,0,0,0,1,0,0,0,0,2,0,0,0
18,10,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
32,24,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,24,1,2,1,0,0,1,0,0,0,0,1,0,0,1
23,16,0,2,0,0,0,0,0,0,0,0,1,0,0,1
32,25,0,2,0,0,0,0,0,0,0,0,1,0,0,1
28,21,0,2,0,6,0,0,0,0,0,0,1,0,0,1
19,11,0,2,0,0,0,1,0,0,0,0,1,0,0,0
95,19,60,4,5,17,1,1,0,1,0,1,1,0,0,1
27,19,0,2,1,0,0,1,0,0,0,0,1,0,0,0
33,25,0,2,0,0,0,1,0,0,0,0,1,0,0,0
45,36,1,2,2,14,0,1,0,0,0,0,1,0,0,1
18,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,0,3,0,0,0,1,0,0,0,0,2,0,0,0
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,15,0,3,0,0,0,0,0,0,0,0,2,0,0,1
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
45,36,1,2,2,0,0,1,0,0,0,0,1,0,0,1
28,19,1,2,0,0,0,1,0,0,0,0,1,0,0,1
113,15,66,6,3,9,4,1,0,1,0,1,1,0,0,1
64,33,24,3,2,0,0,0,0,0,0,0,1,0,0,1
18,10,1,1,1,0,0,0,0,0,0,0,0,0,0,1
21,13,0,2,0,0,0,1,0,0,0,0,1,0,0,0
30,23,0,2,0,0,0,0,0,0,0,0,1,0,0,1
47,24,15,4,0,0,0,1,0,0,0,0,2,0,0,1
24,17,0,2,0,2,0,0,0,0,0,0,1,0,0,1
30,23,0,3,0,1,0,0,0,0,0,0,2,0,0,1
30,23,0,2,0,0,0,0,0,0,0,0,1,0,0,1
30,22,1,2,0,0,0,0,0,0,0,0,1,0,0,1
56,47,1,2,0,0,0,1,0,0,0,0,1,0,0,1
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
30,23,0,1,1,0,0,0,0,0,0,0,0,0,0,1
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
29,22,0,2,0,0,0,0,0,0,0,0,1,0,0,1
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,2,1,0,0,1,0,0,0,0,1,0,0,0
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,15,0,2,0,0,0,0,0,0,0,0,1,0,0,1
33,25,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,19,0,2,1,0,0,0,0,0,0,0,1,0,0,1
43,35,0,2,2,25,0,1,0,0,0,0,1,0,0,1
25,18,0,2,0,0,0,0,0,0,0,0,1,0,0,1
28,20,0,3,0,0,0,1,0,0,0,0,2,0,0,0
32,23,1,2,0,0,0,1,0,0,0,0,1,0,0,1
54,45,1,2,4,9,0,1,0,0,0,0,1,0,0,1
33,25,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,15,0,2,0,0,0,0,0,0,0,0,1,0,0,1
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
31,23,0,2,0,0,0,1,0,0,0,0,1,1,1,0
25,17,0,2,1,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
29,21,0,3,0,0,0,1,0,0,0,0,2,0,0,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
98,14,50,3,1,1,3,1,0,1,1,0,0,1,0,1
66,22,36,4,0,6,1,1,0,0,0,0,1,1,1,1
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
100,13,76,3,0,14,1,1,0,0,0,0,1,0,0,1
23,16,0,3,0,0,0,0,0,0,0,0,2,0,0,1
25,17,0,2,0,2,0,1,0,0,0,0,1,0,0,0
24,16,0,2,0,0,0,1,0,0,0,0,1,0,1,0
29,21,0,3,0,0,0,1,0,0,0,0,2,0,0,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
32,23,1,2,0,0,0,1,0,0,0,0,1,0,0,1
26,18,0,2,1,0,0,1,0,0,0,0,1,0,0,0
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
31,23,0,2,1,0,0,1,0,0,0,0,1,0,0,0
48,39,1,2,1,3,0,1,0,0,0,0,1,0,0,1
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,16,0,3,0,0,0,0,0,0,0,0,2,0,0,1
34,26,0,3,0,0,0,1,0,0,0,0,2,0,0,0
23,16,0,2,1,2,0,0,0,0,0,0,1,0,0,1
78,19,51,5,0,2,0,1,0,0,0,0,2,0,0,1
20,13,0,2,0,0,0,0,0,0,0,0,1,0,0,1
22,15,0,2,0,0,0,0,0,0,0,0,1,0,0,1
47,30,9,5,1,0,0,1,0,0,0,0,3,0,0,1
51,42,1,2,2,0,0,1,0,0,0,0,1,0,0,1
36,28,0,2,0,0,0,1,0,0,0,0,1,0,0,0
29,21,1,2,0,3,0,0,0,0,0,0,1,1,0,1
30,22,0,2,0,2,0,1,0,0,0,0,1,0,0,0
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,25,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,21,0,3,0,0,0,0,0,0,0,0,2,0,0,1
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
92,7,77,2,0,10,0,1,0,0,0,0,0,0,0,1
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,16,0,3,0,0,0,1,0,0,0,0,2,0,0,0
34,26,1,3,1,0,0,0,0,0,0,0,2,0,0,1
48,40,0,3,2,0,0,1,0,0,0,0,2,0,0,1
55,46,1,3,0,16,0,1,0,0,0,0,2,0,0,1
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
36,28,0,3,1,0,0,1,0,0,0,0,2,0,0,0
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,18,0,2,0,0,0,0,0,0,0,0,1,0,0,1
63,52,4,4,2,0,0,0,0,0,0,0,3,0,0,1
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,15,11,3,0,1,0,0,0,0,0,0,1,0,0,1
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
43,35,0,2,2,1,0,1,0,0,0,0,1,0,0,1
38,30,0,4,1,0,0,1,0,0,0,0,3,0,0,1
32,24,0,2,0,0,0,1,0,0,0,0,1,0,0,0
36,28,0,2,0,0,0,1,0,0,0,0,1,0,0,0
100,16,76,3,0,13,0,1,0,0,0,0,1,0,0,1
22,14,0,3,0,0,0,1,0,0,0,0,2,0,0,0
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,1,0,1,0,0,0,0,1,0,0,0
121,74,12,5,1,9,3,1,0,1,0,0,2,0,0,1
29,21,0,3,0,3,0,1,0,0,0,0,2,0,0,1
24,16,0,2,1,0,0,1,0,0,0,0,1,0,0,0
49,42,0,3,0,0,0,0,0,0,0,0,2,0,1,1
44,36,1,2,3,12,0,0,0,0,0,0,1,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
21,14,0,2,0,6,0,0,0,0,0,0,1,0,0,1
30,23,0,2,1,0,0,0,0,0,0,0,1,1,0,1
33,26,0,3,0,0,0,0,0,0,0,0,2,0,0,1
19,11,0,2,0,0,0,1,0,0,0,0,1,0,0,0
31,23,0,3,0,0,0,1,0,0,0,0,2,0,0,0
29,21,0,2,0,0,0,1,0,0,0,0,1,0,1,0
32,24,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,19,0,2,0,0,0,0,0,0,0,0,1,0,0,1
21,12,1,1,0,0,0,1,0,0,0,0,0,0,0,1
33,26,0,3,0,0,0,0,0,0,0,0,2,0,0,1
91,19,64,3,5,22,0,1,0,0,0,0,1,0,0,1
20,13,0,2,0,0,0,0,0,0,0,0,1,0,0,1
26,19,0,2,0,0,0,0,0,0,0,0,1,0,0,1
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,1,1,2,0,0,0,0,0,0,0,0,0,0,1
162,7,52,3,0,18,6,1,0,1,1,1,0,0,0,1
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
41,32,1,2,1,2,0,1,0,0,0,0,1,0,0,1
26,19,0,2,0,0,0,0,0,0,0,0,1,0,0,1
27,19,0,2,0,0,0,1,0,0,0,0,1,0,1,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,1,2,0,0,0,0,0,0,0,0,1,0,0,1
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,18,0,2,1,0,0,0,0,0,0,0,1,0,1,1
24,17,0,3,0,0,0,0,0,0,0,0,2,0,0,1
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,16,0,4,0,0,0,1,0,0,0,0,3,0,0,0
29,22,0,3,0,0,0,0,0,0,0,0,2,0,0,1
23,15,0,3,0,0,0,1,0,0,0,0,2,0,0,0
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,21,0,2,1,0,0,0,0,0,0,0,1,0,0,1
28,21,0,2,1,0,0,0,0,0,0,0,1,0,0,1
34,26,0,3,1,0,0,1,0,0,0,0,2,0,0,0
57,49,1,3,3,0,0,0,0,0,0,0,2,1,1,1
114,37,7,2,1,13,6,1,0,0,2,0,1,0,0,1
51,14,30,2,0,6,0,0,0,0,0,0,1,0,0,1
61,15,38,3,1,0,0,1,0,0,0,0,1,0,0,1
21,14,0,2,0,0,0,0,0,0,0,0,1,0,0,1
21,14,0,2,0,0,0,0,0,0,0,0,1,0,0,1
29,22,0,2,0,0,0,0,0,0,0,0,1,0,0,1
24,16,0,3,0,0,0,1,0,0,0,0,2,0,0,0
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
34,16,10,2,0,0,0,1,0,0,0,0,0,0,0,1
34,19,7,3,0,0,0,1,0,0,0,0,1,0,0,1
34,27,0,3,0,0,0,0,0,0,0,0,2,0,0,1
25,18,0,2,0,0,0,0,0,0,0,0,1,0,0,1
32,24,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,25,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,16,0,3,0,0,0,1,0,0,0,0,2,0,0,0
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
43,36,0,4,1,1,0,0,0,0,0,0,3,0,0,1
21,14,0,2,0,0,0,0,0,0,0,0,1,0,0,1
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,15,0,3,0,0,0,0,0,0,0,0,2,0,0,1
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
37,29,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,16,0,2,0,0,0,0,0,0,0,0,1,0,0,1
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
36,28,0,2,1,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,25,0,2,1,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
44,36,1,2,3,12,0,0,0,0,0,0,1,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
18,10,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,4,0,0,0,1,0,0,0,0,3,0,0,0
22,15,0,2,0,2,0,0,0,0,0,0,1,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,1,0
58,39,11,3,0,0,0,1,0,0,0,0,2,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,1,0,0
26,18,0,3,0,0,0,1,0,0,0,0,2,0,0,0
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
45,36,1,5,0,0,0,1,0,0,0,0,4,0,0,1
28,21,0,2,0,0,0,0,0,0,0,0,1,0,1,1
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
36,28,0,3,1,0,0,1,0,0,0,0,2,0,0,0
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,25,0,2,1,2,0,1,0,0,0,0,1,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,18,0,2,0,0,0,0,0,0,0,0,1,0,0,1
33,25,0,2,0,0,0,1,0,0,0,0,1,0,1,0
25,16,1,3,0,0,0,1,0,0,0,0,2,0,0,1
28,20,0,2,2,0,0,1,0,0,0,0,1,0,0,0
29,22,0,2,0,0,0,0,0,0,0,0,1,0,0,1
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
19,11,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,16,0,2,0,0,0,1,0,0,0,0,1,0,1,0
34,26,0,2,0,0,0,1,0,0,0,0,1,0,0,0
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
30,22,0,4,0,2,0,1,0,0,0,0,3,0,0,0
27,19,0,3,0,0,0,1,0,0,0,0,2,0,0,0
23,16,0,3,0,0,0,0,0,0,0,0,2,0,0,1
75,28,40,2,0,6,0,0,0,0,0,0,1,0,1,1
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,17,0,2,0,0,0,0,0,0,0,0,1,0,0,1
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
21,13,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
20,13,0,2,0,0,0,0,0,0,0,0,1,0,0,1
20,12,0,2,0,0,0,1,0,0,0,0,1,0,0,0
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,25,0,3,0,0,0,1,0,0,0,0,2,0,0,0
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
34,25,1,2,1,6,0,1,0,0,0,0,1,0,0,1
42,33,1,3,0,0,0,1,0,0,0,0,2,0,0,1
28,21,0,2,0,0,0,0,0,0,0,0,1,0,0,1
28,20,0,2,0,0,0,1,0,0,0,0,1,0,1,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
41,32,1,2,3,1,0,1,0,0,0,0,1,0,0,1
36,28,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
36,28,0,3,0,0,0,1,0,0,0,0,2,0,0,0
38,27,3,2,0,1,0,1,0,0,0,0,1,0,0,1
44,35,1,3,2,3,0,1,0,0,0,0,2,0,0,1
25,18,0,2,0,0,0,0,0,0,0,0,1,0,1,1
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
56,47,1,2,3,7,0,1,0,0,0,0,1,0,0,1
43,34,1,3,2,1,0,1,0,0,0,0,2,0,0,1
29,21,0,3,0,0,0,1,0,0,0,0,2,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
34,26,0,2,0,0,0,1,0,0,0,0,1,0,0,0
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
82,9,65,1,0,14,0,1,0,0,0,0,0,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
69,11,51,1,4,3,0,0,0,0,0,0,0,1,0,1
33,24,1,2,1,0,0,1,0,0,0,0,1,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,14,0,3,0,0,0,1,0,0,0,0,2,0,0,0
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
68,7,53,1,0,4,0,1,0,0,0,0,0,0,0,1
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
38,30,1,2,1,0,0,0,0,0,0,0,1,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
32,24,0,2,0,0,0,1,0,0,0,0,1,0,0,0
29,21,0,2,1,0,0,1,0,0,0,0,1,0,0,0
22,14,0,2,0,0,0,1,0,0,0,0,1,0,0,0
32,23,1,2,1,3,0,1,0,0,0,0,1,0,0,1
28,21,0,2,0,0,0,0,0,0,0,0,1,0,0,1
38,22,8,2,1,1,0,1,0,0,0,0,1,0,0,1
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
19,12,0,2,0,0,0,0,0,0,0,0,1,0,0,1
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
22,15,0,2,0,5,0,0,0,0,0,0,1,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,17,0,2,0,0,0,0,0,0,0,0,1,0,0,1
214,20,1,1,0,23,11,1,0,0,2,0,0,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
40,33,0,2,0,0,0,0,0,0,0,0,1,0,0,1
21,13,0,2,0,0,0,1,0,0,0,0,1,0,0,0
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
56,19,1,2,0,6,3,0,0,0,1,0,1,1,0,1
31,23,0,2,0,0,0,1,0,0,0,0,1,0,0,0
37,29,0,2,0,0,0,1,0,0,0,0,1,0,0,0
96,76,12,4,1,11,0,1,0,0,0,0,2,0,0,1
83,74,1,3,0,9,0,1,0,0,0,0,2,0,0,1
28,20,0,2,1,0,0,1,0,0,0,0,1,0,0,0
25,17,0,3,0,0,0,1,0,0,0,0,2,0,0,0
39,30,1,3,0,0,0,1,0,0,0,0,2,1,0,1
33,25,1,2,1,6,0,0,0,0,0,0,1,0,0,1
46,10,29,3,1,5,0,0,0,0,0,0,0,1,0,1
33,24,1,2,1,6,0,1,0,0,0,0,1,0,0,1
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,24,1,2,0,0,0,1,0,0,0,0,1,0,0,1
27,20,0,3,0,0,0,0,0,0,0,0,2,0,0,1
22,15,0,2,0,0,0,0,0,0,0,0,1,0,0,1
58,36,14,2,0,6,0,1,0,0,0,0,1,0,0,1
20,12,1,3,0,9,0,0,1,0,0,0,0,0,0,1
31,24,0,2,1,0,0,0,0,0,0,0,1,0,0,1
68,29,32,1,1,0,0,0,0,0,0,0,0,1,0,1
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
47,38,1,3,0,0,0,1,0,0,0,0,2,0,0,1
27,18,1,2,0,1,0,1,0,0,0,0,1,0,0,1
117,13,24,4,2,12,7,0,1,0,3,0,0,0,0,1
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
23,15,0,3,0,0,0,1,0,0,0,0,2,0,0,0
20,13,0,2,0,2,0,0,0,0,0,0,1,0,0,1
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
55,35,12,3,2,7,0,1,0,0,0,0,1,0,0,1
87,7,52,2,0,2,2,1,0,0,1,0,0,0,0,1
22,14,0,2,1,0,0,1,0,0,0,0,1,0,0,0
35,18,9,2,0,10,0,1,0,0,0,0,1,0,0,1
27,20,0,3,0,7,0,0,0,0,0,0,2,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,18,0,2,0,0,0,0,0,0,0,0,1,0,0,1
25,17,0,2,0,0,0,1,0,0,0,0,1,0,0,0
33,25,0,2,0,0,0,1,0,0,0,0,1,0,0,0
82,74,1,3,0,9,0,0,0,0,0,0,2,0,0,1
28,21,0,2,1,0,0,0,0,0,0,0,1,0,0,1
34,26,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0
74,19,47,4,1,0,1,1,0,0,0,0,2,0,0,1
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
51,42,1,3,2,7,0,1,0,0,0,0,2,0,0,1
26,18,0,2,0,0,0,1,0,0,0,0,1,0,0,0
27,18,1,2,1,2,0,1,0,0,0,0,1,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,18,0,2,2,0,0,0,0,0,0,0,1,0,0,1
125,24,94,3,2,5,20,0,0,0,0,0,1,2,0,1
29,21,0,3,0,0,0,1,0,0,0,0,2,0,0,0
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
34,26,0,3,0,0,0,1,0,0,0,0,2,0,0,0
27,19,0,2,1,0,0,1,0,0,0,0,1,0,0,0
29,21,0,2,0,0,0,1,0,0,0,0,1,0,0,0
30,22,0,2,0,0,0,1,0,0,0,0,1,0,0,0
48,39,1,5,0,3,0,1,0,0,0,0,4,0,0,1
30,23,0,2,1,1,0,0,0,0,0,0,1,0,0,1
28,20,0,2,0,0,0,1,0,0,0,0,1,0,0,0
106,42,56,4,2,18,0,1,0,0,0,0,2,0,0,1
87,24,41,5,0,3,1,1,0,1,0,1,2,0,0,1
35,27,0,2,0,0,0,1,0,0,0,0,1,0,0,0
32,25,0,2,0,0,0,0,0,0,0,0,1,0,0,1
23,15,0,2,0,0,0,1,0,0,0,0,1,0,0,0
35,26,1,2,0,1,0,1,0,0,0,0,1,0,0,1
26,18,0,3,0,1,0,1,0,0,0,0,2,0,0,0
24,17,0,2,0,0,0,0,0,0,0,0,1,0,0,1
93,19,66,1,1,14,0,1,0,0,0,0,0,0,0,1
29,21,0,2,0,0,0,1,0,0,0,0,1,0,1,0
36,29,0,2,0,0,0,0,0,0,0,0,1,0,0,1
117,11,99,7,0,28,2,0,0,1,0,0,0,0,0,1
21,13,0,2,0,0,0,1,0,0,0,0,1,0,0,0
26,19,0,2,1,0,0,0,0,0,0,0,1,0,0,1
56,47,1,3,4,21,0,1,0,0,0,0,2,0,0,1
27,19,0,2,0,0,0,1,0,0,0,0,1,0,0,0
25,17,0,3,0,0,0,1,0,0,0,0,2,0,0,0
59,50,1,4,3,6,0,1,0,0,0,0,3,0,1,1
